timestamp,open,high,low,close
2024-01-02 00:01:00,1.10235,1.10239,1.10224,1.10224
2024-01-02 00:02:00,1.10223,1.10227,1.1022,1.1022
2024-01-02 00:03:00,1.10219,1.10226,1.10215,1.10215
2024-01-02 00:04:00,1.10225,1.10225,1.10223,1.10223
2024-01-02 00:05:00,1.10226,1.10229,1.1022,1.1022
2024-01-02 00:06:00,1.1022,1.1022,1.10217,1.10217
2024-01-02 00:07:00,1.1022,1.1022,1.1021,1.1021
2024-01-02 00:08:00,1.10214,1.10221,1.10214,1.10214
2024-01-02 00:09:00,1.10221,1.10225,1.1022,1.1022
2024-01-02 00:10:00,1.10226,1.10231,1.1022,1.1022
2024-01-02 00:11:00,1.10233,1.10246,1.10233,1.10233
2024-01-02 00:12:00,1.10245,1.10245,1.10238,1.10238
2024-01-02 00:13:00,1.1024,1.10246,1.10239,1.10239
2024-01-02 00:14:00,1.10241,1.10252,1.10237,1.10237
2024-01-02 00:15:00,1.10254,1.10259,1.10248,1.10248
2024-01-02 00:16:00,1.10253,1.10265,1.10247,1.10247
2024-01-02 00:17:00,1.10252,1.10254,1.10252,1.10252
2024-01-02 00:18:00,1.10254,1.10255,1.10254,1.10254
2024-01-02 00:19:00,1.10254,1.10254,1.10251,1.10251
2024-01-02 00:20:00,1.10255,1.10255,1.10252,1.10252
2024-01-02 00:21:00,1.10254,1.10256,1.10252,1.10252
2024-01-02 00:22:00,1.10255,1.10273,1.10255,1.10255
2024-01-02 00:23:00,1.10271,1.10272,1.1026,1.1026
2024-01-02 00:24:00,1.10265,1.10273,1.10264,1.10264
2024-01-02 00:25:00,1.10267,1.10272,1.10265,1.10265
2024-01-02 00:26:00,1.1027,1.10271,1.10265,1.10265
2024-01-02 00:27:00,1.10271,1.10275,1.10269,1.10269
2024-01-02 00:28:00,1.10271,1.10281,1.10271,1.10271
2024-01-02 00:29:00,1.10279,1.10279,1.10263,1.10263
2024-01-02 00:30:00,1.10265,1.10275,1.10265,1.10265
2024-01-02 00:31:00,1.10268,1.10272,1.10266,1.10266
2024-01-02 00:32:00,1.10271,1.10273,1.10271,1.10271
2024-01-02 00:33:00,1.10271,1.10278,1.1027,1.1027
2024-01-02 00:34:00,1.10274,1.10279,1.10274,1.10274
2024-01-02 00:35:00,1.10278,1.10284,1.10278,1.10278
2024-01-02 00:36:00,1.10283,1.10283,1.10278,1.10278
2024-01-02 00:37:00,1.10279,1.1028,1.10272,1.10272
2024-01-02 00:38:00,1.10279,1.1028,1.10278,1.10278
